day,date,time,beg_time,end_time,id,session,type,url,sponsor,beg_time_round,end_time_round
Wed,7/15/2020,4:00 PM - 5:30 PM,4:00 PM,5:30 PM,220162,Biometrics Editorial Board Meeting,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220162,Biometrics Editorial Board,16,18
Wed,7/29/2020,2:00 PM - 3:30 PM,2:00 PM,3:30 PM,220194,Sandia Career Panel and Networking Event,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220194,Sandia National Labs,14,16
Fri,7/31/2020,12:00 PM - 1:30 PM,12:00 PM,1:30 PM,220163,Biometrics Editorial Board Meeting,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220163,Biometrics Editorial Board,12,14
Fri,7/31/2020,1:00 PM - 6:00 PM,1:00 PM,6:00 PM,220170,Council of Sections Business Meeting,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220170,Council of Sections,13,18
Fri,7/31/2020,2:00 PM - 3:30 PM,2:00 PM,3:30 PM,220185,Mental Health Statistics Section - Business Meeting,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220185,Mental Health Statistics Section,14,16
Fri,7/31/2020,4:00 PM -,4:00 PM,11:50 PM,220200,Mu Sigma Rho Annual General Meeting,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220200,Mu Sigma Rho,16,24
Sat,8/1/2020,2:00 PM - 3:30 PM,2:00 PM,3:30 PM,220195,Wisconsin Welcome Reception,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220195,University of Wisconsin-Madison,14,16
Sun,8/2/2020, -,8:00 AM,11:50 PM,220128,JSM Walk/Run - Day 1,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220128,JSM,8,24
Sun,8/2/2020,11:15 AM - 12:00 PM,11:15 AM,12:00 PM,220149,LIVE 30-minute Guided Meditation/Mindfulness Session,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220149,JSM,11,12
Sun,8/2/2020,12:00 PM -,12:00 PM,11:50 PM,220107,Virtual JSM Kick-Off,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220107,JSM,12,24
Sun,8/2/2020,12:30 PM -,12:30 PM,11:50 PM,220108,Introduction to Virtual JSM,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220108,JSM,12,24
Sun,8/2/2020,12:30 PM - 3:30 PM,12:30 PM,3:30 PM,220123,JSM Data Art Show,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220123,JSM Partner Societies,12,16
Sun,8/2/2020,12:30 PM - 3:30 PM,12:30 PM,3:30 PM,1,Invited E-Poster Session,Invited Poster Presentations,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=219562,"ASA, Text Analysis Interest Group",12,16
Sun,8/2/2020,1:30 PM -,1:30 PM,11:50 PM,220109,First-Time Attendee Orientation,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220109,"Novartis, Caucus for Women in Statistics",13,24
Sun,8/2/2020,2:00 PM - 3:30 PM,2:00 PM,3:30 PM,220111,JSM Opening Mixer,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220111,MIT,14,16
Sun,8/2/2020,3:30 PM -,3:30 PM,11:50 PM,220112,Day 1 Closing Announcements,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220112,JSM Partner Societies,15,24
Sun,8/2/2020,5:00 PM - 6:30 PM,5:00 PM,6:30 PM,220184,Section of Statistical Programmers and Analysts  Executive Officers Meeting,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220184,Section for Statistical Programmers and Analysts,17,19
Sun,8/2/2020,8:00 PM - 9:30 PM,8:00 PM,9:30 PM,220164,KISS BOD meeting,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220164,Korean International Statistical Society,20,22
Mon,8/3/2020, -,8:00 AM,11:50 PM,220129,JSM Walk/Run - Day 2,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220129,JSM,8,24
Mon,8/3/2020,7:00 AM - 8:30 AM,7:00 AM,8:30 AM,220152,Technometrics Management Committee Meeting (Closed),Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220152,Technometrics Management Committee,7,9
Mon,8/3/2020,8:00 AM -,8:00 AM,11:50 PM,220156,Diversity Mentoring Program (DMP),Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220156,Committee on Minorities in Statistics,8,24
Mon,8/3/2020,8:30 AM - 10:00 AM,8:30 AM,10:00 AM,220193,Biopharmaceutical Section Executive Committee Meeting (Closed),Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220193,Biopharmaceutical Section,8,10
Mon,8/3/2020,9:15 AM - 9:45 AM,9:15 AM,9:45 AM,220135,LIVE 30-minute Guided Meditation/Mindfulness Session,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220135,JSM,9,10
Mon,8/3/2020,9:45 AM -,9:45 AM,11:50 PM,220110,Day 2 Opening Announcements,Other,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/ActivityDetails.cfm?SessionID=220110,JSM Partner Societies,9,24
